entity,node_type,recon_error,gnn_score,risk_score,enhanced_risk,rank
MIAMI-LUKEN INC,distributor,0.0005272985,0.00089449924,0.9815177944994624,0.5892684763973448,1
KEYSOURCE MEDICAL INC,distributor,0.0001152143,0.00019107369,0.9290782785255542,0.5575233965899075,2
PENN PHARMACEUTICAL SERVICES INC,distributor,9.595007e-05,0.0001581894,0.9287405646568108,0.5573076145596558,3
BELLCO DRUG CORP,distributor,0.00024105569,0.00040588377,0.9237851193404242,0.5544334251105663,4
AMERISOURCEBERGEN DRUG CORP,distributor,2.6654348e-05,3.9901974e-05,0.9193431208905888,0.5516218333241772,5
MCKESSON CORPORATION,distributor,9.44612e-06,1.0527243e-05,0.9166812003710731,0.5500129311199032,6
HENRY SCHEIN INC,distributor,8.433478e-06,8.7993585e-06,0.9162402269063166,0.5497476558871489,7
BURLINGTON DRUG COMPANY INC,distributor,6.8984164e-06,6.178199e-06,0.9141295075253126,0.5484801757948733,8
HD SMITH WHOLESALE DRUG CO,distributor,4.9266586e-05,7.85007e-05,0.9135902102410628,0.5481855264237505,9
MORRIS & DICKSON CO LLC,distributor,1.9261923e-05,2.7282971e-05,0.9119989496992512,0.5472102830083674,10
DAKOTA DRUG INC,distributor,2.5727308e-05,3.831936e-05,0.908477309707498,0.5451017135678116,11
ANDA INC,distributor,7.4360505e-06,7.0966175e-06,0.908224442459744,0.5449375041229522,12
KINRAY LLC,distributor,1.3899781e-05,1.8130213e-05,0.9069856822982963,0.5441986614641751,13
GULF COAST MEDICAL SUPPLY,distributor,2.7831044e-05,4.191062e-05,0.905069859079606,0.5430586796961211,14
PRESCRIPTION SUPPLY INC,distributor,7.947408e-05,0.00013006484,0.9029468021135504,0.5418201072063331,15
CARDINAL HEALTH INC,distributor,9.1781556e-05,0.00015107324,0.9011688783122442,0.5407617562855199,16
DIRECT RX,distributor,7.525752e-05,0.00012286696,0.8979032533813451,0.5387910988123743,17
SMITH DRUG COMPANY,distributor,5.7301604e-05,9.2216214e-05,0.8966035089400168,0.5379989918497693,18
VALUEDRUGCO,distributor,4.3129283e-05,6.802444e-05,0.8940557145698755,0.5364606385187428,19
NATIONAL WHOLESALE DRUG CO INC,distributor,5.0387014e-05,8.041297e-05,0.8908041638013907,0.5345146634668193,20
JANSSEN PHARMACEUTICALS INC,manufacturer,0.5858278,1.0,0.0720178523079039,0.44321071734520684,21
ABBOTT LABORATORIES,manufacturer,0.57096285,0.9746255,0.0720178523079039,0.43306094040962945,22
HIKMA PHARMACEUTICALS,manufacturer,0.57033414,0.9735523,0.0720178523079039,0.4326316379556347,23
RHODES TECHNOLOGIES,manufacturer,0.57021314,0.9733458,0.0720178523079039,0.4325490557202984,24
ENDO PHARMACEUTICALS INC,manufacturer,0.569992,0.9729683,0.0720178523079039,0.43239801755043755,25
PAR PHARMACEUTICAL INC,manufacturer,0.5698617,0.97274584,0.0720178523079039,0.4323090576181103,26
SUN PHARMA GLOBAL INC,manufacturer,0.5698432,0.9727142,0.0720178523079039,0.4322963916310955,27
TEVA PHARMACEUTICALS USA INC,manufacturer,0.56974906,0.97255355,0.0720178523079039,0.43223213782402764,28
QUALITEST PHARMACEUTICALS,manufacturer,0.56945413,0.9720502,0.0720178523079039,0.43203079333397637,29
WATSON LABORATORIES INC,manufacturer,0.5693181,0.97181803,0.0720178523079039,0.4319379292974163,30
SANDOZ INC,manufacturer,0.56930864,0.9718018,0.0720178523079039,0.4319314323911358,31
MALLINCKRODT LLC,manufacturer,0.56930065,0.97178817,0.0720178523079039,0.43192597856613885,32
CADISTA PHARMACEUTICALS INC,manufacturer,0.56925684,0.9717134,0.0720178523079039,0.431896086836784,33
ACTAVIS PHARMA INC,manufacturer,0.5689042,0.9711115,0.0720178523079039,0.4316553138742138,34
IMPAX LABORATORIES INC,manufacturer,0.56884855,0.97101647,0.0720178523079039,0.4316173159131695,35
MYLAN PHARMACEUTICALS INC,manufacturer,0.5685165,0.9704496,0.0720178523079039,0.4313905798444439,36
PURDUE PHARMA LP,manufacturer,0.56846374,0.97035956,0.0720178523079039,0.4313545488366772,37
AMNEAL PHARMACEUTICALS LLC,manufacturer,0.5683869,0.97022843,0.0720178523079039,0.43130209674927483,38
