src,dst,product
TEVA PHARMACEUTICALS USA INC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9385 (MI),
LANNETT COMPANY INC,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,WALMART PHARMACY #6376 (OH),
CADISTA PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #4543 (IL),
SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,KROGER PHARMACY #6848 (HI),
ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #3905 (TN),
AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #3043 (PA),
SANDOZ INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,FAMILY CARE PHARMACY #5952 (MI),
LANNETT COMPANY INC,VALUEDRUGCO,
VALUEDRUGCO,WALMART PHARMACY #3043 (PA),
ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #1129 (MS),
PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,WALGREENS #1373 (PA),
PURDUE PHARMA LP,HENRY SCHEIN INC,
HENRY SCHEIN INC,VILLAGE PHARMACY #8234 (IN),
RHODES TECHNOLOGIES,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #8690 (FL),
CADISTA PHARMACEUTICALS INC,KINRAY LLC,
KINRAY LLC,PUBLIX PHARMACY #6736 (TN),
SANDOZ INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #8405 (VA),
HIKMA PHARMACEUTICALS,KINRAY LLC,
KINRAY LLC,WALGREENS #5175 (PA),
WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #6747 (ID),
PURDUE PHARMA LP,MCKESSON CORPORATION,
MCKESSON CORPORATION,CVS PHARMACY #2361 (MN),
ACTAVIS PHARMA INC,MCKESSON CORPORATION,
MCKESSON CORPORATION,PEOPLES PHARMACY #8009 (NH),
QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #6129 (NC),
VINTAGE PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9368 (GA),
PURDUE PHARMA LP,DIRECT RX,
DIRECT RX,HARRIS TEETER PHARMACY #1096 (WV),
RHODES TECHNOLOGIES,KINRAY LLC,
KINRAY LLC,MAIN STREET PHARMACY #8644 (MI),
MALLINCKRODT LLC,VALUEDRUGCO,
VALUEDRUGCO,PUBLIX PHARMACY #1528 (VA),
JANSSEN PHARMACEUTICALS INC,ANDA INC,
ANDA INC,WALGREENS #9211 (LA),
VINTAGE PHARMACEUTICALS LLC,KINRAY LLC,
KINRAY LLC,QUALITY CARE PHARMACY #6507 (NC),
ACTAVIS PHARMA INC,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #6007 (WV),
AMNEAL PHARMACEUTICALS LLC,BELLCO DRUG CORP,
BELLCO DRUG CORP,COMMUNITY PHARMACY #5242 (DE),
MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,VILLAGE PHARMACY #4915 (OH),
JANSSEN PHARMACEUTICALS INC,KINRAY LLC,
KINRAY LLC,RITE AID #1394 (FL),
AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,
MCKESSON CORPORATION,VILLAGE PHARMACY #4294 (PA),
AMNEAL PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #1887 (KY),
SUN PHARMA GLOBAL INC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,CORNER DRUG STORE #2236 (KY),
CADISTA PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,PUBLIX PHARMACY #8593 (NM),
ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,
BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #5688 (MI),
ABBOTT LABORATORIES,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #7622 (RI),
IMPAX LABORATORIES INC,MCKESSON CORPORATION,
MCKESSON CORPORATION,MAIN STREET PHARMACY #2094 (KY),
VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,
DAKOTA DRUG INC,PUBLIX PHARMACY #5706 (MT),
PURDUE PHARMA LP,DAKOTA DRUG INC,
DAKOTA DRUG INC,MEDICO PHARMACY #5021 (MT),
SUN PHARMA GLOBAL INC,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #2822 (WV),
HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #2472 (ND),
RHODES TECHNOLOGIES,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #7202 (CT),
TEVA PHARMACEUTICALS USA INC,KINRAY LLC,
KINRAY LLC,KROGER PHARMACY #5686 (VA),
IMPAX LABORATORIES INC,ANDA INC,
ANDA INC,VILLAGE PHARMACY #1377 (VA),
MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #3473 (WV),
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,KROGER PHARMACY #6683 (OH),
HIKMA PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,WINN-DIXIE PHARMACY #8378 (VA),
LANNETT COMPANY INC,HENRY SCHEIN INC,
HENRY SCHEIN INC,SUNRISE PHARMACY #4395 (WA),
HIKMA PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #5365 (FL),
ABBOTT LABORATORIES,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #6271 (AR),
ABBOTT LABORATORIES,BELLCO DRUG CORP,
BELLCO DRUG CORP,CVS PHARMACY #6466 (KY),
PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #5581 (TN),
QUALITEST PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #9741 (SC),
ACTAVIS PHARMA INC,DIRECT RX,
DIRECT RX,SUNRISE PHARMACY #7390 (IN),
HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,
HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #3848 (DE),
SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #3396 (IN),
PURDUE PHARMA LP,BELLCO DRUG CORP,
BELLCO DRUG CORP,SUNRISE PHARMACY #8246 (MA),
TEVA PHARMACEUTICALS USA INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,CVS PHARMACY #3187 (KY),
PAR PHARMACEUTICAL INC,DIRECT RX,
DIRECT RX,MEDICO PHARMACY #9378 (TN),
CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,
PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #9964 (OH),
MALLINCKRODT LLC,DAKOTA DRUG INC,
DAKOTA DRUG INC,CORNER DRUG STORE #8519 (AK),
MYLAN PHARMACEUTICALS INC,CARDINAL HEALTH INC,
CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #1784 (PA),
MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,WALGREENS #7611 (WA),
PRESCRIPTION SUPPLY INC,CVS PHARMACY #9326 (KY),
SANDOZ INC,VALUEDRUGCO,
VALUEDRUGCO,HARRIS TEETER PHARMACY #3473 (WV),
MALLINCKRODT LLC,HENRY SCHEIN INC,
HENRY SCHEIN INC,HOMETOWN PHARMACY #3746 (TN),
CADISTA PHARMACEUTICALS INC,ANDA INC,
ANDA INC,WALMART PHARMACY #8931 (VA),
LANNETT COMPANY INC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #3759 (TN),
SANDOZ INC,BELLCO DRUG CORP,
BELLCO DRUG CORP,VILLAGE PHARMACY #7334 (PA),
PURDUE PHARMA LP,VALUEDRUGCO,
VALUEDRUGCO,FAMILY CARE PHARMACY #3203 (KY),
AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,
DAKOTA DRUG INC,CORNER DRUG STORE #6200 (PA),
SUN PHARMA GLOBAL INC,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,QUALITY CARE PHARMACY #6273 (HI),
QUALITEST PHARMACEUTICALS,DAKOTA DRUG INC,
DAKOTA DRUG INC,WINN-DIXIE PHARMACY #4497 (AZ),
TEVA PHARMACEUTICALS USA INC,BELLCO DRUG CORP,
BELLCO DRUG CORP,CORNER DRUG STORE #9561 (PA),
SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,PEOPLES PHARMACY #2912 (WV),
TEVA PHARMACEUTICALS USA INC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #7046 (MA),
MALLINCKRODT LLC,DIRECT RX,
DIRECT RX,HARRIS TEETER PHARMACY #9689 (OK),
RHODES TECHNOLOGIES,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,WINN-DIXIE PHARMACY #3668 (MS),
CADISTA PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2028 (TN),
RHODES TECHNOLOGIES,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,CVS PHARMACY #9746 (TN),
ABBOTT LABORATORIES,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,HOMETOWN PHARMACY #6387 (NC),
MCKESSON CORPORATION,CVS PHARMACY #4698 (OH),
LANNETT COMPANY INC,DIRECT RX,
DIRECT RX,MAIN STREET PHARMACY #7935 (KY),
WATSON LABORATORIES INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,HOMETOWN PHARMACY #6513 (WV),
ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9432 (NV),
LANNETT COMPANY INC,ANDA INC,
ANDA INC,COMMUNITY PHARMACY #8220 (VA),
PAR PHARMACEUTICAL INC,KINRAY LLC,
KINRAY LLC,RITE AID #3495 (IL),
MALLINCKRODT LLC,BELLCO DRUG CORP,
BELLCO DRUG CORP,MEDICO PHARMACY #7458 (TX),
TEVA PHARMACEUTICALS USA INC,BURLINGTON DRUG COMPANY INC,
BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #3112 (LA),
PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2073 (WI),
QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #4273 (OR),
ENDO PHARMACEUTICALS INC,VALUEDRUGCO,
VALUEDRUGCO,WALMART PHARMACY #5238 (AR),
SUN PHARMA GLOBAL INC,KINRAY LLC,
KINRAY LLC,PUBLIX PHARMACY #2932 (KS),
JANSSEN PHARMACEUTICALS INC,VALUEDRUGCO,
VALUEDRUGCO,CVS PHARMACY #5523 (NC),
HENRY SCHEIN INC,CVS PHARMACY #4509 (LA),
WATSON LABORATORIES INC,SMITH DRUG COMPANY,
QUALITEST PHARMACEUTICALS,KINRAY LLC,
KINRAY LLC,MAIN STREET PHARMACY #3493 (MD),
DIRECT RX,MAIN STREET PHARMACY #3572 (TN),
VINTAGE PHARMACEUTICALS LLC,ANDA INC,
ANDA INC,WALMART PHARMACY #6565 (SC),
LANNETT COMPANY INC,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,WINN-DIXIE PHARMACY #9193 (KY),
PURDUE PHARMA LP,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,HEALTH MART PHARMACY #4740 (VA),
HIKMA PHARMACEUTICALS,VALUEDRUGCO,
VALUEDRUGCO,MAIN STREET PHARMACY #3283 (NV),
IMPAX LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,HEALTH MART PHARMACY #9020 (AL),
GULF COAST MEDICAL SUPPLY,WALGREENS #7353 (OK),
ACTAVIS PHARMA INC,BELLCO DRUG CORP,
BELLCO DRUG CORP,FAMILY CARE PHARMACY #3626 (OK),
JANSSEN PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #5408 (OH),
ANDA INC,CORNER DRUG STORE #5081 (AZ),
JANSSEN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,PEOPLES PHARMACY #7931 (CA),
WATSON LABORATORIES INC,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,WALMART PHARMACY #8666 (MS),
NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #7141 (ND),
NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #2234 (VA),
PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,QUALITY CARE PHARMACY #8648 (GA),
PAR PHARMACEUTICAL INC,NATIONAL WHOLESALE DRUG CO INC,
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #8090 (LA),
SANDOZ INC,HENRY SCHEIN INC,
HENRY SCHEIN INC,CORNER DRUG STORE #8030 (TX),
MALLINCKRODT LLC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #5688 (MI),
VINTAGE PHARMACEUTICALS LLC,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #2397 (LA),
KINRAY LLC,CORNER DRUG STORE #6778 (SC),
RHODES TECHNOLOGIES,MCKESSON CORPORATION,
MCKESSON CORPORATION,COMMUNITY PHARMACY #8260 (MI),
CADISTA PHARMACEUTICALS INC,DIRECT RX,
DIRECT RX,HOMETOWN PHARMACY #8469 (NC),
ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,
KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #1949 (PA),
ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #8561 (LA),
VINTAGE PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,MEDICO PHARMACY #5392 (NC),
ACTAVIS PHARMA INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,SUNRISE PHARMACY #9210 (IA),
JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,
MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #2904 (CT),
ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #2766 (WV),
IMPAX LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,MAIN STREET PHARMACY #8987 (ME),
IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #5152 (MI),
VINTAGE PHARMACEUTICALS LLC,MCKESSON CORPORATION,
MCKESSON CORPORATION,HOMETOWN PHARMACY #5569 (NC),
ACTAVIS PHARMA INC,ANDA INC,
ANDA INC,PUBLIX PHARMACY #4058 (WA),
VALUEDRUGCO,WINN-DIXIE PHARMACY #1912 (OH),
VALUEDRUGCO,HARRIS TEETER PHARMACY #8821 (AL),
SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #6004 (OK),
RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,
HD SMITH WHOLESALE DRUG CO,WALGREENS #1373 (PA),
MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #3820 (AK),
WATSON LABORATORIES INC,ANDA INC,
ANDA INC,CVS PHARMACY #2076 (VA),
ABBOTT LABORATORIES,DAKOTA DRUG INC,
DAKOTA DRUG INC,WALMART PHARMACY #6000 (VT),
AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #4191 (NV),
PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #1995 (NJ),
IMPAX LABORATORIES INC,PRESCRIPTION SUPPLY INC,
