flow_id,timestamp,src,dst,product,qty,value,scheduled_date,actual_date,po_date,status
arcos_0,2011-09-13,AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9385 (MI),,578.0,,,,,
arcos_1,2013-11-06,PRESCRIPTION SUPPLY INC,WALMART PHARMACY #6376 (OH),,260.0,,,,,
arcos_2,2009-03-10,KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #4543 (IL),,132.0,,,,,
arcos_3,2008-10-12,MIAMI-LUKEN INC,KROGER PHARMACY #6848 (HI),,436.0,,,,,
arcos_4,2011-01-23,PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #3905 (TN),,308.0,,,,,
arcos_5,2011-10-01,NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #3043 (PA),,118.0,,,,,
arcos_6,2011-08-02,DAKOTA DRUG INC,FAMILY CARE PHARMACY #5952 (MI),,258.0,,,,,
arcos_7,2012-04-08,VALUEDRUGCO,WALMART PHARMACY #3043 (PA),,445.0,,,,,
arcos_8,2011-12-24,AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #1129 (MS),,342.0,,,,,
arcos_9,2006-09-04,PRESCRIPTION SUPPLY INC,WALGREENS #1373 (PA),,144.0,,,,,
arcos_10,2011-08-24,HENRY SCHEIN INC,VILLAGE PHARMACY #8234 (IN),,447.0,,,,,
arcos_11,2014-02-25,PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #8690 (FL),,892.0,,,,,
arcos_12,2013-08-15,KINRAY LLC,PUBLIX PHARMACY #6736 (TN),,175.0,,,,,
arcos_13,2012-08-22,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #8405 (VA),,2010.0,,,,,
arcos_14,2011-04-02,KINRAY LLC,WALGREENS #5175 (PA),,801.0,,,,,
arcos_15,2009-04-30,GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #6747 (ID),,2124.0,,,,,
arcos_16,2012-04-06,MCKESSON CORPORATION,CVS PHARMACY #2361 (MN),,56.0,,,,,
arcos_17,2013-10-02,MCKESSON CORPORATION,PEOPLES PHARMACY #8009 (NH),,492.0,,,,,
arcos_18,2008-04-06,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #6129 (NC),,688.0,,,,,
arcos_19,2011-12-18,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9368 (GA),,15.0,,,,,
arcos_20,2013-08-12,DIRECT RX,HARRIS TEETER PHARMACY #1096 (WV),,20000.0,,,,,
