node_id,role,country,size_hint
TEVA PHARMACEUTICALS USA INC,manufacturer,,
AMERISOURCEBERGEN DRUG CORP,distributor,,
HOMETOWN PHARMACY #9385 (MI),retailer,MI,
LANNETT COMPANY INC,manufacturer,,
PRESCRIPTION SUPPLY INC,distributor,,
WALMART PHARMACY #6376 (OH),retailer,OH,
CADISTA PHARMACEUTICALS INC,manufacturer,,
KEYSOURCE MEDICAL INC,distributor,,
VILLAGE PHARMACY #4543 (IL),retailer,IL,
SUN PHARMA GLOBAL INC,manufacturer,,
MIAMI-LUKEN INC,distributor,,
KROGER PHARMACY #6848 (HI),retailer,HI,
ENDO PHARMACEUTICALS INC,manufacturer,,
QUALITY CARE PHARMACY #3905 (TN),retailer,TN,
AMNEAL PHARMACEUTICALS LLC,manufacturer,,
NATIONAL WHOLESALE DRUG CO INC,distributor,,
WALMART PHARMACY #3043 (PA),retailer,PA,
SANDOZ INC,manufacturer,,
DAKOTA DRUG INC,distributor,,
FAMILY CARE PHARMACY #5952 (MI),retailer,MI,
VALUEDRUGCO,distributor,,
FAMILY CARE PHARMACY #1129 (MS),retailer,MS,
PURDUE PHARMA LP,manufacturer,,
WALGREENS #1373 (PA),retailer,PA,
HENRY SCHEIN INC,distributor,,
VILLAGE PHARMACY #8234 (IN),retailer,IN,
RHODES TECHNOLOGIES,manufacturer,,
PENN PHARMACEUTICAL SERVICES INC,distributor,,
QUALITY CARE PHARMACY #8690 (FL),retailer,FL,
KINRAY LLC,distributor,,
PUBLIX PHARMACY #6736 (TN),retailer,TN,
MORRIS & DICKSON CO LLC,distributor,,
SUNRISE PHARMACY #8405 (VA),retailer,VA,
HIKMA PHARMACEUTICALS,manufacturer,,
WALGREENS #5175 (PA),retailer,PA,
WATSON LABORATORIES INC,manufacturer,,
GULF COAST MEDICAL SUPPLY,distributor,,
CORNER DRUG STORE #6747 (ID),retailer,ID,
MCKESSON CORPORATION,distributor,,
CVS PHARMACY #2361 (MN),retailer,MN,
ACTAVIS PHARMA INC,manufacturer,,
PEOPLES PHARMACY #8009 (NH),retailer,NH,
QUALITEST PHARMACEUTICALS,manufacturer,,
GOOD NEIGHBOR PHARMACY #6129 (NC),retailer,NC,
VINTAGE PHARMACEUTICALS LLC,manufacturer,,
PUBLIX PHARMACY #9368 (GA),retailer,GA,
DIRECT RX,distributor,,
HARRIS TEETER PHARMACY #1096 (WV),retailer,WV,
MAIN STREET PHARMACY #8644 (MI),retailer,MI,
MALLINCKRODT LLC,manufacturer,,
PUBLIX PHARMACY #1528 (VA),retailer,VA,
JANSSEN PHARMACEUTICALS INC,manufacturer,,
ANDA INC,distributor,,
WALGREENS #9211 (LA),retailer,LA,
QUALITY CARE PHARMACY #6507 (NC),retailer,NC,
PEOPLES PHARMACY #6007 (WV),retailer,WV,
BELLCO DRUG CORP,distributor,,
COMMUNITY PHARMACY #5242 (DE),retailer,DE,
MYLAN PHARMACEUTICALS INC,manufacturer,,
VILLAGE PHARMACY #4915 (OH),retailer,OH,
RITE AID #1394 (FL),retailer,FL,
VILLAGE PHARMACY #4294 (PA),retailer,PA,
HD SMITH WHOLESALE DRUG CO,distributor,,
KROGER PHARMACY #1887 (KY),retailer,KY,
CORNER DRUG STORE #2236 (KY),retailer,KY,
PUBLIX PHARMACY #8593 (NM),retailer,NM,
GOOD NEIGHBOR PHARMACY #5688 (MI),retailer,MI,
ABBOTT LABORATORIES,manufacturer,,
SMITH DRUG COMPANY,distributor,,
HARRIS TEETER PHARMACY #7622 (RI),retailer,RI,
IMPAX LABORATORIES INC,manufacturer,,
MAIN STREET PHARMACY #2094 (KY),retailer,KY,
PUBLIX PHARMACY #5706 (MT),retailer,MT,
MEDICO PHARMACY #5021 (MT),retailer,MT,
VILLAGE PHARMACY #2822 (WV),retailer,WV,
MAIN STREET PHARMACY #2472 (ND),retailer,ND,
PUBLIX PHARMACY #7202 (CT),retailer,CT,
KROGER PHARMACY #5686 (VA),retailer,VA,
VILLAGE PHARMACY #1377 (VA),retailer,VA,
BURLINGTON DRUG COMPANY INC,distributor,,
HARRIS TEETER PHARMACY #3473 (WV),retailer,WV,
KROGER PHARMACY #6683 (OH),retailer,OH,
WINN-DIXIE PHARMACY #8378 (VA),retailer,VA,
SUNRISE PHARMACY #4395 (WA),retailer,WA,
HARRIS TEETER PHARMACY #5365 (FL),retailer,FL,
HOMETOWN PHARMACY #6271 (AR),retailer,AR,
