flow_id,timestamp,src,dst,product,qty,value,scheduled_date,actual_date,po_date,status
dataco_0,2018-02-03,Fitness,Indonesia,Sporting Goods,1.0,327.75,2018-02-04,2018-02-03,2018-01-31,on_time
dataco_1,2018-01-18,Fitness,India,Sporting Goods,1.0,327.75,2018-01-17,2018-01-18,2018-01-13,late
dataco_2,2018-01-17,Fitness,India,Sporting Goods,1.0,327.75,2018-01-17,2018-01-17,2018-01-13,on_time
dataco_3,2018-01-16,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-17,2018-01-16,2018-01-13,on_time
dataco_4,2018-01-15,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-17,2018-01-15,2018-01-13,on_time
dataco_5,2018-01-19,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-17,2018-01-19,2018-01-13,late
dataco_6,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_7,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_8,2018-01-16,Fitness,China,Sporting Goods,1.0,327.75,2018-01-15,2018-01-16,2018-01-13,late
dataco_9,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_10,2018-01-19,Fitness,Japón,Sporting Goods,1.0,327.75,2018-01-15,2018-01-19,2018-01-13,late
dataco_11,2018-01-18,Fitness,Indonesia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-18,2018-01-13,late
dataco_12,2018-01-17,Fitness,Indonesia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-17,2018-01-13,late
dataco_13,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_14,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_15,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_16,2018-01-18,Fitness,Corea del Sur,Sporting Goods,1.0,327.75,2018-01-15,2018-01-18,2018-01-13,late
dataco_17,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_18,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_19,2018-01-13,Fitness,India,Sporting Goods,1.0,327.75,2018-01-13,2018-01-13,2018-01-13,on_time
dataco_20,2018-01-13,Fitness,India,Sporting Goods,1.0,327.75,2018-01-13,2018-01-13,2018-01-13,on_time
dataco_21,2018-01-18,Fitness,India,Sporting Goods,1.0,327.75,2018-01-17,2018-01-18,2018-01-13,late
dataco_22,2018-01-17,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-17,2018-01-13,late
dataco_23,2018-01-16,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-16,2018-01-13,late
dataco_24,2018-01-15,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-15,2018-01-13,on_time
dataco_25,2018-01-19,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-19,2018-01-13,late
dataco_26,2018-01-18,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-15,2018-01-18,2018-01-13,late
dataco_27,2018-01-17,Fitness,China,Sporting Goods,1.0,327.75,2018-01-17,2018-01-17,2018-01-13,on_time
dataco_28,2018-01-16,Fitness,China,Sporting Goods,1.0,327.75,2018-01-17,2018-01-16,2018-01-13,on_time
dataco_29,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-17,2018-01-15,2018-01-13,on_time
dataco_30,2018-01-19,Fitness,China,Sporting Goods,1.0,327.75,2018-01-17,2018-01-19,2018-01-13,late
dataco_31,2018-01-18,Fitness,India,Sporting Goods,1.0,327.75,2018-01-17,2018-01-18,2018-01-13,late
dataco_32,2018-01-17,Fitness,India,Sporting Goods,1.0,327.75,2018-01-17,2018-01-17,2018-01-13,on_time
dataco_33,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_34,2018-01-15,Fitness,China,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_35,2018-01-15,Fitness,Singapur,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_36,2018-01-15,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-15,2018-01-13,late
dataco_37,2018-01-14,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-13,2018-01-14,2018-01-12,late
dataco_38,2018-01-13,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-12,2018-01-13,2018-01-12,on_time
dataco_39,2018-01-13,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-12,2018-01-13,2018-01-12,on_time
dataco_40,2018-01-13,Fitness,Singapur,Sporting Goods,1.0,327.75,2018-01-12,2018-01-13,2018-01-12,on_time
dataco_41,2018-01-13,Fitness,Singapur,Sporting Goods,1.0,327.75,2018-01-12,2018-01-13,2018-01-12,on_time
dataco_42,2018-01-16,Fitness,Indonesia,Sporting Goods,1.0,327.75,2018-01-16,2018-01-16,2018-01-12,on_time
dataco_43,2018-01-15,Fitness,Indonesia,Sporting Goods,1.0,327.75,2018-01-16,2018-01-15,2018-01-12,on_time
dataco_44,2018-01-14,Fitness,Australia,Sporting Goods,1.0,327.75,2018-01-16,2018-01-14,2018-01-12,on_time
dataco_45,2018-01-18,Fitness,India,Sporting Goods,1.0,327.75,2018-01-16,2018-01-18,2018-01-12,late
dataco_46,2018-01-17,Fitness,India,Sporting Goods,1.0,327.75,2018-01-14,2018-01-17,2018-01-12,late
