node_id,role,country,size_hint
Fitness,department,,
Indonesia,market,Indonesia,
India,market,India,
Australia,market,Australia,
China,market,China,
Japón,market,Japón,
Corea del Sur,market,Corea del Sur,
Singapur,market,Singapur,
Apparel,department,,
Golf,department,,
Turquía,market,Turquía,
Mongolia,market,Mongolia,
Footwear,department,,
Estados Unidos,market,Estados Unidos,
Nigeria,market,Nigeria,
República Democrática del Congo,market,República Democrática del Congo,
Outdoors,department,,
Senegal,market,Senegal,
Marruecos,market,Marruecos,
Alemania,market,Alemania,
Francia,market,Francia,
Países Bajos,market,Países Bajos,
Reino Unido,market,Reino Unido,
Guatemala,market,Guatemala,
El Salvador,market,El Salvador,
Panamá,market,Panamá,
República Dominicana,market,República Dominicana,
Venezuela,market,Venezuela,
Colombia,market,Colombia,
Honduras,market,Honduras,
Brasil,market,Brasil,
México,market,México,
Uruguay,market,Uruguay,
Argentina,market,Argentina,
Cuba,market,Cuba,
Perú,market,Perú,
Nicaragua,market,Nicaragua,
Fan Shop,department,,
Ecuador,market,Ecuador,
Angola,market,Angola,
Sudán,market,Sudán,
Somalia,market,Somalia,
Costa de Marfil,market,Costa de Marfil,
Egipto,market,Egipto,
Technology,department,,
Italia,market,Italia,
España,market,España,
Suecia,market,Suecia,
Austria,market,Austria,
Canada,market,Canada,
Madagascar,market,Madagascar,
Argelia,market,Argelia,
Liberia,market,Liberia,
Zambia,market,Zambia,
Níger,market,Níger,
SudAfrica,market,SudAfrica,
Mozambique,market,Mozambique,
Tanzania,market,Tanzania,
Ruanda,market,Ruanda,
Israel,market,Israel,
Nueva Zelanda,market,Nueva Zelanda,
Bangladés,market,Bangladés,
Tailandia,market,Tailandia,
Irak,market,Irak,
Arabia Saudí,market,Arabia Saudí,
Filipinas,market,Filipinas,
Kazajistán,market,Kazajistán,
Irán,market,Irán,
Myanmar (Birmania),market,Myanmar (Birmania),
Uzbekistán,market,Uzbekistán,
Benín,market,Benín,
Camerún,market,Camerún,
Kenia,market,Kenia,
Togo,market,Togo,
Ucrania,market,Ucrania,
Polonia,market,Polonia,
Portugal,market,Portugal,
Rumania,market,Rumania,
Trinidad y Tobago,market,Trinidad y Tobago,
Afganistán,market,Afganistán,
Pakistán,market,Pakistán,
Vietnam,market,Vietnam,
Malasia,market,Malasia,
Finlandia,market,Finlandia,
Rusia,market,Rusia,
Irlanda,market,Irlanda,
Noruega,market,Noruega,
Eslovaquia,market,Eslovaquia,
Bélgica,market,Bélgica,
Bolivia,market,Bolivia,
Chile,market,Chile,
Jamaica,market,Jamaica,
Yemen,market,Yemen,
Ghana,market,Ghana,
Guinea,market,Guinea,
Etiopía,market,Etiopía,
Bulgaria,market,Bulgaria,
Kirguistán,market,Kirguistán,
Georgia,market,Georgia,
Nepal,market,Nepal,
Emiratos Árabes Unidos,market,Emiratos Árabes Unidos,
Camboya,market,Camboya,
Uganda,market,Uganda,
Lesoto,market,Lesoto,
Book Shop,department,,
Lituania,market,Lituania,
Suiza,market,Suiza,
Hungría,market,Hungría,
Dinamarca,market,Dinamarca,
Discs Shop,department,,
Haití,market,Haití,
Bielorrusia,market,Bielorrusia,
Croacia,market,Croacia,
Laos,market,Laos,
Baréin,market,Baréin,
Macedonia,market,Macedonia,
República Checa,market,República Checa,
Sri Lanka,market,Sri Lanka,
Zimbabue,market,Zimbabue,
Eritrea,market,Eritrea,
Burkina Faso,market,Burkina Faso,
Costa Rica,market,Costa Rica,
Libia,market,Libia,
Pet Shop,department,,
Health and Beauty,department,,
Barbados,market,Barbados,
Tayikistán,market,Tayikistán,
Siria,market,Siria,
Guadalupe,market,Guadalupe,
Papúa Nueva Guinea,market,Papúa Nueva Guinea,
Azerbaiyán,market,Azerbaiyán,
Turkmenistán,market,Turkmenistán,
Paraguay,market,Paraguay,
Jordania,market,Jordania,
Hong Kong,market,Hong Kong,
Martinica,market,Martinica,
Moldavia,market,Moldavia,
Qatar,market,Qatar,
Mali,market,Mali,
Albania,market,Albania,
República del Congo,market,República del Congo,
Bosnia y Herzegovina,market,Bosnia y Herzegovina,
Omán,market,Omán,
Túnez,market,Túnez,
Sierra Leona,market,Sierra Leona,
Yibuti,market,Yibuti,
Burundi,market,Burundi,
Montenegro,market,Montenegro,
Gabón,market,Gabón,
Sudán del Sur,market,Sudán del Sur,
Luxemburgo,market,Luxemburgo,
Namibia,market,Namibia,
Mauritania,market,Mauritania,
Grecia,market,Grecia,
Suazilandia,market,Suazilandia,
Guyana,market,Guyana,
Guayana Francesa,market,Guayana Francesa,
República Centroafricana,market,República Centroafricana,
Taiwán,market,Taiwán,
Estonia,market,Estonia,
Líbano,market,Líbano,
Chipre,market,Chipre,
Guinea-Bissau,market,Guinea-Bissau,
Surinam,market,Surinam,
Belice,market,Belice,
Eslovenia,market,Eslovenia,
República de Gambia,market,República de Gambia,
Botsuana,market,Botsuana,
Armenia,market,Armenia,
Guinea Ecuatorial,market,Guinea Ecuatorial,
Kuwait,market,Kuwait,
Bután,market,Bután,
Chad,market,Chad,
Serbia,market,Serbia,
Sáhara Occidental,market,Sáhara Occidental,
