src,dst,product
site::Ranbaxy Fine Chemicals LTD,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test"
RANBAXY Fine Chemicals LTD.,Côte d'Ivoire,"HIV, Reveal G3 Rapid HIV-1 Antibody Test"
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Nevirapine
Aurobindo Pharma Limited,Vietnam,Nevirapine
site::ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit"
Abbott GmbH & Co. KG,Côte d'Ivoire,"HIV 1/2, Determine Complete HIV Kit"
"site::Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Lamivudine
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Stavudine
Aurobindo Pharma Limited,Vietnam,Stavudine
"site::Aurobindo Unit III, India",Aurobindo Pharma Limited,Zidovudine
Aurobindo Pharma Limited,Nigeria,Zidovudine
site::MSD South Granville Australia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Zambia,Efavirenz
Aurobindo Pharma Limited,Tanzania,Nevirapine
Aurobindo Pharma Limited,Nigeria,Stavudine
site::ABBVIE (Abbott) St. P'burg USA,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Lopinavir/Ritonavir
site::ABBVIE Ludwigshafen Germany,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir
"site::Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit"
"Trinity Biotech, Plc",Zambia,"HIV 1/2, Uni-Gold HIV Kit"
"site::EY Laboratories, USA",EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit"
EY Laboratories,Nigeria,"HIV 1/2, InstantChek HIV 1+2 Kit"
"site::Cipla, Goa, India",CIPLA LIMITED,Lamivudine/Zidovudine
CIPLA LIMITED,Rwanda,Lamivudine/Zidovudine
Abbott GmbH & Co. KG,Haiti,"HIV 1/2, Determine Complete HIV Kit"
"site::BMS Meymac, France",BRISTOL-MYERS SQUIBB,Didanosine
BRISTOL-MYERS SQUIBB,Zimbabwe,Didanosine
site::ABBVIE GmbH & Co.KG Wiesbaden,ACCOUN NIGERIA LIMITED,"HIV 1/2, Determine Complete HIV Kit"
ACCOUN NIGERIA LIMITED,Nigeria,"HIV 1/2, Determine Complete HIV Kit"
site::Premier Med. Corp Ltd. India,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit"
Premier Medical Corporation Ltd.,Rwanda,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit"
BRISTOL-MYERS SQUIBB,Tanzania,Didanosine
Abbott GmbH & Co. KG,Nigeria,"HIV 1/2, Determine Complete HIV Kit"
site::Chembio Diagnostics Sys. Inc.,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit"
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,"HIV 1/2, Stat-Pak HIV, Kit"
BRISTOL-MYERS SQUIBB,Côte d'Ivoire,Didanosine
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Lopinavir/Ritonavir
site::Inverness Japan,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets"
"Orgenics, Ltd",Haiti,"HIV 1/2, Determine HIV Kit, without Lancets"
"site::Pacific Biotech, Thailand",Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
Orasure Technologies Inc.,Haiti,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit"
"site::Standard Diagnostics, Korea","Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included"
"Standard Diagnostics, Inc.",Tanzania,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included"
Aurobindo Pharma Limited,Ethiopia,Stavudine
site::GSK Mississauga (Canada),"JSI R&T INSTITUTE, INC.",Zidovudine
"JSI R&T INSTITUTE, INC.",South Africa,Zidovudine
site::Gilead(Nycomed) Oranienburg DE,"GILEAD SCIENCES IRELAND, INC.",Tenofovir Disoproxil Fumarate
"GILEAD SCIENCES IRELAND, INC.",Vietnam,Tenofovir Disoproxil Fumarate
"site::Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Zidovudine
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Zidovudine
site::Inverness Japan,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"Orgenics, Ltd",Rwanda,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"Orgenics, Ltd",Nigeria,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs"
"site::BMS Meymac, France","JSI R&T INSTITUTE, INC.",Stavudine
"JSI R&T INSTITUTE, INC.",South Africa,Stavudine
"site::Trinity Biotech, Plc","Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit"
