flow_id,timestamp,src,dst,product,qty,value,scheduled_date,actual_date,po_date,status
scms_0,2006-06-02,RANBAXY Fine Chemicals LTD.,Côte d'Ivoire,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",19.0,551.0,2006-06-02,2006-06-02,,on_time
scms_1,2006-11-14,Aurobindo Pharma Limited,Vietnam,Nevirapine,1000.0,6200.0,2006-11-14,2006-11-14,,on_time
scms_2,2006-08-27,Abbott GmbH & Co. KG,Côte d'Ivoire,"HIV 1/2, Determine Complete HIV Kit",500.0,40000.0,2006-08-27,2006-08-27,,on_time
scms_3,2006-09-01,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,Lamivudine,31920.0,127360.8,2006-09-01,2006-09-01,,on_time
scms_4,2006-08-11,Aurobindo Pharma Limited,Vietnam,Stavudine,38000.0,121600.0,2006-08-11,2006-08-11,,on_time
scms_5,2006-09-28,Aurobindo Pharma Limited,Nigeria,Zidovudine,416.0,2225.6,2006-09-28,2006-09-28,,on_time
scms_6,2007-01-08,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Zambia,Efavirenz,135.0,4374.0,2007-01-08,2007-01-08,,on_time
scms_7,2006-11-24,Aurobindo Pharma Limited,Tanzania,Nevirapine,16667.0,60834.55,2006-11-24,2006-11-24,,on_time
scms_8,2006-12-07,Aurobindo Pharma Limited,Nigeria,Stavudine,273.0,532.35,2006-12-07,2006-12-07,,on_time
scms_9,2007-01-30,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Lopinavir/Ritonavir,2800.0,115080.0,2007-01-30,2007-01-30,2006-11-13,on_time
scms_10,2007-02-16,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Zambia,Lopinavir/Ritonavir,2800.0,115080.0,2007-02-16,2007-02-16,2006-12-01,on_time
scms_11,2007-01-08,"Trinity Biotech, Plc",Zambia,"HIV 1/2, Uni-Gold HIV Kit",2500.0,100000.0,2007-01-08,2007-01-08,,on_time
scms_12,2007-01-10,EY Laboratories,Nigeria,"HIV 1/2, InstantChek HIV 1+2 Kit",10.0,850.0,2007-01-10,2007-01-10,,on_time
scms_13,2007-02-27,CIPLA LIMITED,Rwanda,Lamivudine/Zidovudine,10000.0,99800.0,2007-02-27,2007-02-27,2006-12-22,on_time
scms_14,2007-01-18,Abbott GmbH & Co. KG,Haiti,"HIV 1/2, Determine Complete HIV Kit",750.0,60000.0,2007-01-18,2007-01-18,,on_time
scms_15,2007-03-19,BRISTOL-MYERS SQUIBB,Zimbabwe,Didanosine,579.0,14764.5,2007-03-19,2007-03-19,2007-01-10,on_time
scms_16,2007-05-07,ACCOUN NIGERIA LIMITED,Nigeria,"HIV 1/2, Determine Complete HIV Kit",1500.0,120000.0,2007-05-07,2007-05-07,,on_time
scms_17,2007-03-29,Premier Medical Corporation Ltd.,Rwanda,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",2000.0,33000.0,2007-03-29,2007-03-29,,on_time
scms_18,2007-06-06,BRISTOL-MYERS SQUIBB,Tanzania,Didanosine,712.0,8964.08,2007-06-06,2007-06-06,2007-04-12,on_time
