node_id,role,country,size_hint
site::Ranbaxy Fine Chemicals LTD,manufacturing_site,,
RANBAXY Fine Chemicals LTD.,vendor,,
Côte d'Ivoire,country,Côte d'Ivoire,
"site::Aurobindo Unit III, India",manufacturing_site,,
Aurobindo Pharma Limited,vendor,,
Vietnam,country,Vietnam,
site::ABBVIE GmbH & Co.KG Wiesbaden,manufacturing_site,,
Abbott GmbH & Co. KG,vendor,,
"site::Ranbaxy, Paonta Shahib, India",manufacturing_site,,
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),vendor,,
Nigeria,country,Nigeria,
site::MSD South Granville Australia,manufacturing_site,,
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),vendor,,
Zambia,country,Zambia,
Tanzania,country,Tanzania,
site::ABBVIE (Abbott) St. P'burg USA,manufacturing_site,,
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),vendor,,
site::ABBVIE Ludwigshafen Germany,manufacturing_site,,
"site::Trinity Biotech, Plc",manufacturing_site,,
"Trinity Biotech, Plc",vendor,,
"site::EY Laboratories, USA",manufacturing_site,,
EY Laboratories,vendor,,
"site::Cipla, Goa, India",manufacturing_site,,
CIPLA LIMITED,vendor,,
Rwanda,country,Rwanda,
Haiti,country,Haiti,
"site::BMS Meymac, France",manufacturing_site,,
BRISTOL-MYERS SQUIBB,vendor,,
Zimbabwe,country,Zimbabwe,
ACCOUN NIGERIA LIMITED,vendor,,
site::Premier Med. Corp Ltd. India,manufacturing_site,,
Premier Medical Corporation Ltd.,vendor,,
site::Chembio Diagnostics Sys. Inc.,manufacturing_site,,
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",vendor,,
site::Inverness Japan,manufacturing_site,,
"Orgenics, Ltd",vendor,,
"site::Pacific Biotech, Thailand",manufacturing_site,,
Orasure Technologies Inc.,vendor,,
"site::Standard Diagnostics, Korea",manufacturing_site,,
"Standard Diagnostics, Inc.",vendor,,
Ethiopia,country,Ethiopia,
site::GSK Mississauga (Canada),manufacturing_site,,
"JSI R&T INSTITUTE, INC.",vendor,,
South Africa,country,South Africa,
site::Gilead(Nycomed) Oranienburg DE,manufacturing_site,,
"GILEAD SCIENCES IRELAND, INC.",vendor,,
site::Bio-Rad Laboratories,manufacturing_site,,
