anomaly_idx,manufacturer,retailer,anomaly_score,match_rank,match_distance,match_recovery_days,match_response_type,match_disruption_type,match_industry
0,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
0,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
0,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
1,ABBOTT LABORATORIES,HARRIS TEETER PHARMACY #6758 (NC),3,1,0.8823,74.0,Alternative Supplier,Cyber Attack,Automotive
1,ABBOTT LABORATORIES,HARRIS TEETER PHARMACY #6758 (NC),3,2,0.9256,55.0,Alternative Supplier,Natural Disaster,Electronics
1,ABBOTT LABORATORIES,HARRIS TEETER PHARMACY #6758 (NC),3,3,1.0486,88.0,Alternative Supplier,Natural Disaster,Automotive
2,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
2,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
2,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
3,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
3,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
3,RHODES TECHNOLOGIES,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
4,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
4,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
4,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,3,1.1886,89.0,Combined Strategy,Geopolitical,Consumer Goods
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,1,0.9391,135.0,Production Reroute,Geopolitical,Consumer Goods
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),3,2,1.1755,151.0,Production Reroute,Cyber Attack,Automotive
