manufacturer,disrupted_node,retailer,retailer_state,severity,no_listed_backup,action,entity,route,entity_risk,entity_capacity,entity_state_share,plan_score,activation_days,est_recovery_days,baseline_days_no_graph,days_saved_vs_no_graph
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
ABBOTT LABORATORIES,CARDINAL HEALTH INC,HARRIS TEETER PHARMACY #6758 (NC),NC,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #6758 (NC),0.9815,1.0,0.0471,0.2753,1.5,74.3,102.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,PEOPLES PHARMACY #2660 (NC),NC,3,False,T1_REROUTE_EXISTING,DIRECT RX,TEVA PHARMACEUTICALS USA INC -> DIRECT RX -> PEOPLES PHARMACY #2660 (NC),0.8585,0.1504,0.1003,0.1273,1.5,74.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
SANDOZ INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #7243 (WV),WV,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SANDOZ INC -> MIAMI-LUKEN INC -> SUNRISE PHARMACY #7243 (WV),0.9815,1.0,0.5743,0.4862,1.5,74.3,102.0,0.0
HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,HIKMA PHARMACEUTICALS -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,ENDO PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,TEVA PHARMACEUTICALS USA INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,4,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,PAR PHARMACEUTICAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,149.2,132.0,0.0
SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,3,True,T3_NEW_LASTMILE,CARDINAL HEALTH INC,SUN PHARMA GLOBAL INC -> CARDINAL HEALTH INC -> TUG VALLEY PHARMACY #1 (WV),0.8652,0.1959,0.0846,0.13,5.0,110.3,102.0,0.0
