molecule,country,t0,pool_size,n_entrants,entrants,nameable_at_t0,top3_ours,hit1_ours,hit3_ours,hit1_pop,hit3_pop,hit1_cap,hit3_cap,p_hit1_rand,p_hit3_rand
"HIV 1/2, Determine Complete HIV Kit",Nigeria,2007-08-06,2,1,"Orgenics, Ltd",0,SCMS from RDC | REINBOLD EXPORT IMPORT,0,0,0,0,0,0,0.0,0.0
"HIV 1/2, Determine Complete HIV Kit",Haiti,2012-07-05,4,1,"Orgenics, Ltd",1,"Orgenics, Ltd | SUB-SAHARAN BIOMEDICAL P.L.C. | ACCOUN NIGERIA LIMITED",1,1,1,1,1,1,0.25,0.75
Zidovudine,Nigeria,2009-08-04,4,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,"S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC. | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES)",0,1,0,1,0,1,0.25,0.75
Lamivudine/Zidovudine,Zambia,2011-04-05,3,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | CIPLA LIMITED | HETERO LABS LIMITED,1,1,0,1,0,1,0.3333,1.0
Didanosine,Vietnam,2007-05-16,0,1,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),0,,0,0,0,0,0,0,0.0,0.0
Nevirapine,Tanzania,2010-08-09,4,1,HETERO LABS LIMITED,1,HETERO LABS LIMITED | S. BUYS WHOLESALER | STRIDES ARCOLAB LIMITED,1,1,0,1,1,1,0.25,0.75
Didanosine,Zimbabwe,2011-05-20,4,1,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),0,Aurobindo Pharma Limited | IDIS LIMITED | S. BUYS WHOLESALER,0,0,0,0,0,0,0.0,0.0
Efavirenz,Zambia,2010-11-08,6,1,HETERO LABS LIMITED,1,HETERO LABS LIMITED | EMCURE PHARMACEUTICALS LTD | CIPLA LIMITED,1,1,0,0,1,1,0.1667,0.5
Nevirapine,Zambia,2010-03-05,4,1,HETERO LABS LIMITED,1,STRIDES ARCOLAB LIMITED | S. BUYS WHOLESALER | HETERO LABS LIMITED,0,1,0,1,0,1,0.25,0.75
Lamivudine/Zidovudine,Uganda,2009-12-02,2,2,CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2,CIPLA LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,1,1,1,1,1,1.0,1.0
Efavirenz,Uganda,2009-12-02,6,4,CIPLA LIMITED | MICRO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | STRIDES ARCOLAB LIMITED,2,HETERO LABS LIMITED | CIPLA LIMITED | S. BUYS WHOLESALER,0,1,0,1,0,1,0.3333,0.8
Nevirapine,Uganda,2009-12-02,4,2,Aurobindo Pharma Limited | HETERO LABS LIMITED,2,HETERO LABS LIMITED | Aurobindo Pharma Limited | S. BUYS WHOLESALER,1,1,0,1,1,1,0.5,1.0
Emtricitabine/Tenofovir Disoproxil Fumarate,Zambia,2010-12-03,3,2,Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,"PUETRO RICO PHARMACEUTICAL, INC. | S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC.",0,0,0,0,0,0,0.0,0.0
Efavirenz,Zimbabwe,2010-10-04,8,2,MICRO LABS LIMITED | STRIDES ARCOLAB LIMITED,0,HETERO LABS LIMITED | EMCURE PHARMACEUTICALS LTD | Aurobindo Pharma Limited,0,0,0,0,0,0,0.0,0.0
Efavirenz,Côte d'Ivoire,2007-03-08,3,1,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),1,CIPLA LIMITED | Aurobindo Pharma Limited | MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0,1,0,1,0,1,0.3333,1.0
Efavirenz,Rwanda,2012-10-10,5,1,MICRO LABS LIMITED,0,STRIDES ARCOLAB LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | S. BUYS WHOLESALER,0,0,0,0,0,0,0.0,0.0
"HIV 1/2, Uni-Gold HIV Kit",Rwanda,2007-03-09,0,1,SCMS from RDC,0,,0,0,0,0,0,0,0.0,0.0
Zidovudine,Vietnam,2008-01-25,2,3,CIPLA LIMITED | HETERO LABS LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,"SCMS from RDC | JSI R&T INSTITUTE, INC.",0,0,0,0,0,0,0.0,0.0
Lamivudine,Zambia,2010-11-08,9,1,Aurobindo Pharma Limited,1,STRIDES ARCOLAB LIMITED | Aurobindo Pharma Limited | S. BUYS WHOLESALER,0,1,0,1,0,0,0.1111,0.3333
"HIV, Genie II HIV-1/HIV-2 Kit",Nigeria,2007-03-30,0,1,SCMS from RDC,0,,0,0,0,0,0,0,0.0,0.0
Lamivudine/Nevirapine/Zidovudine,Mozambique,2010-10-29,3,1,HETERO LABS LIMITED,0,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | Aurobindo Pharma Limited | STRIDES ARCOLAB LIMITED,0,0,0,0,0,0,0.0,0.0
Zidovudine,Mozambique,2010-01-26,5,1,HETERO LABS LIMITED,0,"S. BUYS WHOLESALER | Aurobindo Pharma Limited | JSI R&T INSTITUTE, INC.",0,0,0,0,0,0,0.0,0.0
Lamivudine/Zidovudine,Tanzania,2008-04-23,2,2,Aurobindo Pharma Limited | HETERO LABS LIMITED,1,Aurobindo Pharma Limited | CIPLA LIMITED,1,1,1,1,1,1,0.5,1.0
Zidovudine,Côte d'Ivoire,2009-12-02,5,1,Aurobindo Pharma Limited,1,"S. BUYS WHOLESALER | Aurobindo Pharma Limited | JSI R&T INSTITUTE, INC.",0,1,0,1,1,1,0.2,0.6
Lamivudine/Zidovudine,Nigeria,2009-08-04,2,1,HETERO LABS LIMITED,0,CIPLA LIMITED | Aurobindo Pharma Limited,0,0,0,0,0,0,0.0,0.0
Lopinavir/Ritonavir,Côte d'Ivoire,2010-12-13,6,1,Aurobindo Pharma Limited,1,ABBOTT LABORATORIES (PUERTO RICO) | S. BUYS WHOLESALER | Aurobindo Pharma Limited,0,1,0,1,0,1,0.1667,0.5
Abacavir,Tanzania,2008-04-23,3,3,Aurobindo Pharma Limited | GLAXOSMITHKLINE EXPORT LIMITED | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),2,CIPLA LIMITED | Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0,1,1,1,0,1,0.6667,1.0
Efavirenz,Tanzania,2012-10-12,8,2,HETERO LABS LIMITED | STRIDES ARCOLAB LIMITED,2,EMCURE PHARMACEUTICALS LTD | S. BUYS WHOLESALER | CIPLA LIMITED,0,0,0,0,0,1,0.25,0.6429
"HIV 1/2, Determine Complete HIV Kit",Tanzania,2012-03-08,4,1,"Standard Diagnostics, Inc.",0,Abbott GmbH & Co. KG | SUB-SAHARAN BIOMEDICAL P.L.C. | ACCOUN NIGERIA LIMITED,0,0,0,0,0,0,0.0,0.0
"HIV 1/2, Determine HIV Kit, without Lancets",Haiti,2007-08-21,0,1,SCMS from RDC,0,,0,0,0,0,0,0,0.0,0.0
"HIV 1/2, Determine HIV Kit, without Lancets",Guyana,2007-08-21,0,1,SCMS from RDC,0,,0,0,0,0,0,0,0.0,0.0
Didanosine,Côte d'Ivoire,2009-12-02,3,2,Aurobindo Pharma Limited | LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),1,"Aurobindo Pharma Limited | S. BUYS WHOLESALER | JSI R&T INSTITUTE, INC.",1,1,0,1,1,1,0.3333,1.0
Nevirapine,Zimbabwe,2011-06-09,6,4,CIPLA LIMITED | HETERO LABS LIMITED | MICRO LABS LIMITED | STRIDES ARCOLAB LIMITED,3,STRIDES ARCOLAB LIMITED | CIPLA LIMITED | HETERO LABS LIMITED,1,1,0,1,1,1,0.5,0.95
Nevirapine,Côte d'Ivoire,2008-01-15,3,2,Aurobindo Pharma Limited | CIPLA LIMITED,1,"STRIDES ARCOLAB LIMITED | Aurobindo Pharma Limited | JSI R&T INSTITUTE, INC.",0,1,1,1,0,1,0.3333,1.0
Lamivudine,Ethiopia,2008-01-09,4,2,Aurobindo Pharma Limited | MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,"SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED) | Aurobindo Pharma Limited | JSI R&T INSTITUTE, INC.",0,1,1,1,0,0,0.25,0.75
Lamivudine/Zidovudine,Zimbabwe,2011-05-20,4,1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES) | HETERO LABS LIMITED | Aurobindo Pharma Limited,1,1,0,1,0,1,0.25,0.75
