country,window_end,n_window,late_window,late_rate,baseline_rate,p_value,alert,z_delay
Côte d'Ivoire,2007-07,44,0,0.0,0.0476,1.00e+00,0,0.0
Côte d'Ivoire,2007-08,63,0,0.0,0.037,1.00e+00,0,0.0
Côte d'Ivoire,2007-09,63,0,0.0,0.0278,1.00e+00,0,0.0
Côte d'Ivoire,2007-10,62,0,0.0,0.0233,1.00e+00,0,0.0
Côte d'Ivoire,2007-11,52,0,0.0,0.0171,1.00e+00,0,0.0
Côte d'Ivoire,2007-12,44,0,0.0,0.0148,1.00e+00,0,0.0
Côte d'Ivoire,2008-01,47,1,0.021,0.0135,4.72e-01,0,0.26
Côte d'Ivoire,2008-02,40,2,0.05,0.0118,8.13e-02,0,-0.51
Côte d'Ivoire,2008-03,38,2,0.053,0.0112,6.74e-02,0,-0.53
Côte d'Ivoire,2008-04,30,2,0.067,0.0154,7.75e-02,0,-1.1
Côte d'Ivoire,2008-05,20,1,0.05,0.0191,3.21e-01,0,-0.03
Côte d'Ivoire,2008-06,19,1,0.053,0.0184,2.98e-01,0,-0.04
Côte d'Ivoire,2008-07,12,0,0.0,0.0222,1.00e+00,0,0.0
Côte d'Ivoire,2008-12,17,0,0.0,0.021,1.00e+00,0,0.0
Côte d'Ivoire,2009-01,23,0,0.0,0.0207,1.00e+00,0,0.0
Côte d'Ivoire,2009-02,26,0,0.0,0.0205,1.00e+00,0,0.0
Côte d'Ivoire,2009-03,34,0,0.0,0.0196,1.00e+00,0,0.0
Côte d'Ivoire,2009-04,30,0,0.0,0.0189,1.00e+00,0,0.0
Côte d'Ivoire,2009-05,29,0,0.0,0.0185,1.00e+00,0,0.0
Côte d'Ivoire,2009-06,22,1,0.045,0.0173,3.19e-01,0,0.18
Côte d'Ivoire,2009-07,28,2,0.071,0.017,8.17e-02,0,0.99
Côte d'Ivoire,2009-08,34,2,0.059,0.0167,1.10e-01,0,0.81
Côte d'Ivoire,2009-09,43,1,0.023,0.0193,5.67e-01,0,0.55
Côte d'Ivoire,2009-10,47,1,0.021,0.0217,6.44e-01,0,0.29
Côte d'Ivoire,2009-11,47,1,0.021,0.021,6.32e-01,0,-1.82
Côte d'Ivoire,2009-12,48,10,0.208,0.0198,3.01e-08,1,-2.07
Côte d'Ivoire,2010-01,45,10,0.222,0.0217,3.65e-08,1,-3.57
Côte d'Ivoire,2010-02,45,10,0.222,0.0211,2.78e-08,1,-6.31
Côte d'Ivoire,2010-03,45,6,0.133,0.0423,1.13e-02,0,-10.33
Côte d'Ivoire,2010-04,42,5,0.119,0.0435,3.47e-02,0,-10.31
Côte d'Ivoire,2010-05,44,5,0.114,0.0424,3.76e-02,0,-5.53
Côte d'Ivoire,2010-06,36,2,0.056,0.0515,5.59e-01,0,-2.74
Côte d'Ivoire,2010-07,37,2,0.054,0.0504,5.63e-01,0,-2.93
Côte d'Ivoire,2010-08,45,2,0.044,0.049,6.54e-01,0,-2.64
Côte d'Ivoire,2010-09,52,0,0.0,0.0518,1.00e+00,0,-3.83
Côte d'Ivoire,2010-10,43,0,0.0,0.0507,1.00e+00,0,-4.02
Côte d'Ivoire,2010-11,46,7,0.152,0.0486,6.48e-03,0,-1.06
Côte d'Ivoire,2010-12,39,18,0.462,0.0467,2.72e-14,1,4.27
Côte d'Ivoire,2011-01,41,18,0.439,0.0466,7.81e-14,1,4.06
Côte d'Ivoire,2011-02,32,23,0.719,0.0571,4.35e-22,1,7.27
Côte d'Ivoire,2011-03,34,16,0.471,0.0749,5.83e-10,1,3.97
Côte d'Ivoire,2011-04,35,17,0.486,0.0745,8.25e-11,1,4.41
Côte d'Ivoire,2011-05,20,5,0.25,0.0929,3.28e-02,0,0.37
Côte d'Ivoire,2011-06,27,13,0.481,0.097,3.64e-07,1,16.41
Côte d'Ivoire,2011-07,31,12,0.387,0.098,1.86e-05,1,13.66
Côte d'Ivoire,2011-08,33,12,0.364,0.098,3.87e-05,1,11.18
