vendor_disrupted,molecule,country,shipment_qty,delay_days,severity,lane_vendor_count,has_alternate,action,alternate_vendor,volume_coverage,route
"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Haiti,750.0,8,2,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.54,SCMS from RDC -> Haiti
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Nigeria,9.0,29,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Nigeria
Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",Botswana,5.0,28,3,3,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Botswana
BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Nigeria,375.0,15,2,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Nigeria
S. BUYS WHOLESALER,Zidovudine,South Africa,50.0,4,1,4,True,T1_ALT_VENDOR_SAME_LANE,Aurobindo Pharma Limited,1.0,Aurobindo Pharma Limited -> South Africa
BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Côte d'Ivoire,1000.0,35,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.415,SCMS from RDC -> Côte d'Ivoire
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",Nigeria,11500.0,24,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.457,SCMS from RDC -> Nigeria
Aurobindo Pharma Limited,Stavudine,Ethiopia,35065.0,34,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.025,SCMS from RDC -> Ethiopia
"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",Zambia,2000.0,13,2,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.203,SCMS from RDC -> Zambia
"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit",Kenya,7500.0,21,2,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.047,SCMS from RDC -> Kenya
"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",Rwanda,500.0,43,3,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Rwanda
Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Nigeria,1500.0,48,4,3,True,T1_ALT_VENDOR_SAME_LANE,"Orgenics, Ltd",1.0,"Orgenics, Ltd -> Nigeria"
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Vietnam,2000.0,45,3,1,True,T2_ALT_VENDOR_OTHER_COUNTRY,SCMS from RDC,1.0,SCMS from RDC -> Vietnam
BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Côte d'Ivoire,476.0,3,1,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,0.872,SCMS from RDC -> Côte d'Ivoire
BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",Côte d'Ivoire,18.0,7,1,2,True,T1_ALT_VENDOR_SAME_LANE,SCMS from RDC,1.0,SCMS from RDC -> Côte d'Ivoire
