molecule,country,n_shipments,history_quarters,daily_demand_packs,daily_demand_std,lead_mean_days,lead_std_days,lead_source,safety_stock_packs_95,days_of_cover_95,pack_price_usd,buffer_value_usd_95,holding_cost_usd_per_yr,annual_flow_value_usd,sizeable
Abacavir,Burundi,3,5,1.927,31.721,100.2,62.5,country,560.0,291.0,13.15,7368.0,1842.0,11774.0,True
Abacavir,"Congo, DRC",16,14,2.497,27.542,125.1,51.9,country,551.0,221.0,14.63,8066.0,2016.0,11531.0,True
Abacavir,Côte d'Ivoire,52,30,57.119,573.587,126.1,86.7,country,13405.0,235.0,15.89,212999.0,53250.0,410201.0,True
Abacavir,Guyana,17,19,0.983,9.633,66.4,38.9,country,144.0,147.0,11.46,1652.0,413.0,5175.0,True
Abacavir,Mozambique,23,32,27.31,492.878,117.1,55.5,country,9149.0,335.0,12.96,118570.0,29642.0,140758.0,True
Abacavir,Uganda,3,5,13.004,182.763,87.3,49.2,country,3009.0,231.0,11.46,34487.0,8622.0,74238.0,True
Abacavir,Zimbabwe,12,13,4.23,52.408,140.8,98.5,country,1235.0,292.0,12.5,15439.0,3860.0,18289.0,True
Abacavir/Lamivudine,"Congo, DRC",5,9,2.116,37.253,125.1,51.9,country,711.0,336.0,4.6,3270.0,817.0,7794.0,True
Abacavir/Lamivudine,Mozambique,6,8,29.459,254.502,117.1,55.5,country,5285.0,179.0,13.52,71458.0,17864.0,157458.0,True
Abacavir/Lamivudine,Tanzania,4,4,161.538,1784.296,109.4,60.1,country,34712.0,215.0,4.0,138846.0,34712.0,450424.0,True
"Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",South Sudan,21,12,1.656,15.804,132.0,31.5,lane,312.0,188.0,5.0,1558.0,390.0,3539.0,True
Efavirenz,Burundi,4,9,45.234,923.544,100.2,62.5,country,15950.0,353.0,3.33,53113.0,13278.0,69617.0,True
Efavirenz,"Congo, DRC",23,15,17.015,279.387,125.1,51.9,country,5357.0,315.0,4.12,22071.0,5518.0,26259.0,True
Efavirenz,Mozambique,55,32,397.693,4438.699,117.1,55.5,country,87228.0,219.0,4.22,368101.0,92025.0,837373.0,True
Efavirenz,Nigeria,105,31,679.008,9665.101,93.9,52.8,country,165505.0,244.0,5.78,956621.0,239155.0,1272300.0,True
Efavirenz,South Sudan,6,7,15.389,174.782,122.5,40.8,country,3356.0,218.0,5.31,17838.0,4459.0,26239.0,True
Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Uganda,9,10,55.267,662.15,87.3,49.2,country,11152.0,202.0,19.92,222156.0,55539.0,393460.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Burundi,6,7,58.154,613.459,100.2,62.5,country,11772.0,202.0,10.12,119136.0,29784.0,264207.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,"Congo, DRC",5,8,100.271,1969.897,125.1,51.9,country,37348.0,372.0,10.78,402614.0,100653.0,463221.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,12,12,490.956,4593.809,126.1,86.7,country,110343.0,225.0,10.78,1189495.0,297374.0,2124043.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,36,10,5224.964,32178.351,117.1,55.5,country,747883.0,143.0,10.78,8062179.0,2015545.0,21291785.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Nigeria,28,13,2937.697,35329.875,93.9,52.8,country,620306.0,211.0,10.52,6525617.0,1631404.0,12047279.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,South Sudan,4,9,81.189,1940.231,122.5,40.8,country,35855.0,442.0,10.65,381856.0,95464.0,303200.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zambia,12,5,6059.032,55788.868,112.8,72.0,country,1214435.0,200.0,9.99,12132208.0,3033052.0,25503490.0,True
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Zimbabwe,27,9,3753.886,52038.917,140.8,98.5,country,1187558.0,316.0,10.78,12801877.0,3200469.0,15896627.0,True
Emtricitabine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,20,16,91.104,821.195,126.1,86.7,country,20033.0,220.0,11.75,235383.0,58846.0,460704.0,True
Emtricitabine/Tenofovir Disoproxil Fumarate,Nigeria,87,20,1100.911,7708.039,93.9,52.8,country,156218.0,142.0,11.75,1835566.0,458891.0,6152601.0,True
Emtricitabine/Tenofovir Disoproxil Fumarate,Uganda,21,13,31.576,410.858,87.3,49.2,country,6834.0,216.0,26.25,179398.0,44849.0,201910.0,True
"HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Rwanda,19,7,180.096,1281.082,118.5,88.2,lane,34872.0,194.0,24.5,854375.0,213594.0,1996306.0,True
"HIV 1/2, Determine Complete HIV Kit",South Sudan,28,15,5.434,38.018,123.7,34.6,lane,763.0,141.0,89.0,67944.0,16986.0,194312.0,True
"HIV 1/2, Determine Complete HIV Kit",Uganda,15,9,78.563,605.539,92.3,37.4,lane,10754.0,137.0,80.0,860328.0,215082.0,2563182.0,True
"HIV, Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",South Sudan,21,14,2.448,27.308,124.7,37.3,lane,525.0,215.0,8.0,4201.0,1050.0,7781.0,True
Lamivudine,Burundi,4,8,3.105,37.106,100.2,62.5,country,691.0,223.0,1.85,1279.0,320.0,2139.0,True
Lamivudine,Guyana,26,25,3.334,37.961,66.4,38.9,country,554.0,166.0,1.89,1046.0,262.0,2649.0,True
Lamivudine,Mozambique,26,31,21.136,240.277,117.1,55.5,country,4707.0,223.0,2.44,11485.0,2871.0,19142.0,True
