vendor,n_shipments,otif_raw,reliability_shrunk,med_delay_when_late_days,n_molecules,lead_n,lead_mean_days,lead_std_days,total_value_usd
SCMS from RDC,5404,0.828,0.829,12,41,0,,,1085372435
"Orgenics, Ltd",754,0.87,0.87,5.0,11,747,103.2,57.9,147703351
S. BUYS WHOLESALER,715,0.985,0.984,6,19,331,51.3,60.8,9891004
Aurobindo Pharma Limited,668,0.859,0.859,27.0,17,642,130.3,71.8,91383711
"Trinity Biotech, Plc",356,0.997,0.996,43,3,347,101.3,71.4,20769341
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),347,0.988,0.987,26.0,2,346,126.3,77.4,29448061
PHARMACY DIRECT,326,1.0,0.998,0.0,17,150,180.2,143.7,873336
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),317,0.994,0.992,3.0,17,317,128.3,53.7,72213666
HETERO LABS LIMITED,277,0.993,0.991,4.5,15,277,128.1,48.8,42881567
CIPLA LIMITED,175,0.869,0.869,33,15,174,144.8,74.2,39658695
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",109,0.991,0.986,24,3,107,100.3,74.7,8520710
"Standard Diagnostics, Inc.",98,0.959,0.956,6.0,7,88,101.0,73.4,8887046
STRIDES ARCOLAB LIMITED,93,0.957,0.953,15.0,7,92,120.5,59.6,22485465
"SHANGHAI KEHUA BIOENGINEERING CO.,LTD. (KHB)",70,0.971,0.966,49.0,2,70,95.4,72.6,7325764
MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),68,0.985,0.978,29,4,66,142.2,76.7,8776717
BRISTOL-MYERS SQUIBB,67,1.0,0.992,0.0,3,65,91.6,50.1,1971067
Orasure Technologies Inc.,56,0.982,0.974,28,3,50,99.7,91.6,1581202
ASPEN PHARMACARE,41,0.976,0.966,36,5,40,84.5,47.2,3164725
EMCURE PHARMACEUTICALS LTD,41,0.951,0.944,28.5,4,41,201.4,90.2,5756840
"JSI R&T INSTITUTE, INC.",38,0.974,0.963,95,11,19,76.8,27.5,250690
MICRO LABS LIMITED,35,1.0,0.986,0.0,3,35,147.9,52.9,1457655
BIO-RAD LABORATORIES (FRANCE),28,0.857,0.861,11.0,3,25,93.9,64.9,1493378
Hoffmann-La Roche ltd Basel,23,1.0,0.979,0.0,3,22,111.8,56.7,1675900
Abbott GmbH & Co. KG,21,0.952,0.939,48,1,8,57.6,51.2,2342400
GLAXOSMITHKLINE EXPORT LIMITED,20,1.0,0.977,0.0,3,20,194.8,65.4,3145377
LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),18,1.0,0.975,0.0,4,18,140.6,76.4,730794
IDA FOUNDATION,17,1.0,0.974,0.0,6,16,79.3,42.3,74388
REINBOLD EXPORT IMPORT,12,0.917,0.907,7,2,10,42.1,27.5,1246105
Premier Medical Corporation Ltd.,12,1.0,0.966,0.0,2,11,45.8,24.2,868202
INTERNATIONAL HEALTHCARE DISTRIBUTORS,10,1.0,0.962,0.0,3,8,112.1,42.6,411635
SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),9,0.889,0.888,3,3,6,88.2,32.8,690334
AMSTELFARMA B.V.,7,1.0,0.952,0.0,3,7,87.4,77.1,98016
JANSSEN SCIENCES IRELAND UC (FORMERLY JANSSEN R&D IRELAND),7,1.0,0.952,0.0,2,7,96.7,33.9,84474
IDIS LIMITED,6,1.0,0.948,0.0,2,6,275.3,170.2,117951
ZEPHYR BIOMEDICALS,5,1.0,0.943,0.0,1,5,76.6,49.2,30450
BIOLYTICAL LABORATORIES INC.,5,1.0,0.943,0.0,2,5,72.6,42.3,81224
NOVARTIS PHARMA SERVICES AG,5,1.0,0.943,0.0,1,5,95.8,63.7,456065
"GILEAD SCIENCES IRELAND, INC.",4,1.0,0.936,0.0,2,2,83.5,,456139
"ABBVIE, SRL (FORMALLY ABBOTT LABORATORIES INTERNATIONAL CO.)",4,1.0,0.936,0.0,2,3,50,0.0,205851
IMRES B.V.,4,1.0,0.936,0.0,3,4,156.8,20.5,57246
ACCOUN NIGERIA LIMITED,3,1.0,0.928,0.0,1,0,,,220000
TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,3,1.0,0.928,0.0,2,2,16,,14531
MISSIONPHARMA A/S,3,1.0,0.928,0.0,2,3,136.7,68.5,142275
HUMAN GMBH,3,1.0,0.928,0.0,1,3,60,22.3,8926
SWORDS LABORATORIES,3,1.0,0.928,0.0,1,3,120.3,40.8,67267
RANBAXY Fine Chemicals LTD.,2,1.0,0.918,0.0,1,0,,,1102
EY Laboratories,2,1.0,0.918,0.0,1,1,33,,1975
BUNDI INTERNATIONAL DIAGNOSTICS LTD,2,1.0,0.918,0.0,1,2,21,,73838
