molecule,country,tier,n_candidates,buffer_now_usd,r1_vendor,r1_score,r1_otif,r1_reliability,r1_ship_n_mol,r1_med_qty_mol,r1_lead_mean_days,r1_lead_src,r1_buffer_whatif_usd,r1_buffer_delta_usd,r2_vendor,r2_score,r2_otif,r3_vendor,r3_score,r3_otif,note
Abacavir,Burundi,T2_ALT_VENDOR_OTHER_COUNTRY,8,7368,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,6626,742,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,"Congo, DRC",T2_ALT_VENDOR_OTHER_COUNTRY,8,8066,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,6740,1326,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Côte d'Ivoire,T2_ALT_VENDOR_OTHER_COUNTRY,8,212999,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,155249,57750,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Dominican Republic,T2_ALT_VENDOR_OTHER_COUNTRY,8,,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,,,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Guatemala,T2_ALT_VENDOR_OTHER_COUNTRY,8,,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,,,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Guyana,T2_ALT_VENDOR_OTHER_COUNTRY,8,1652,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,1890,-238,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Mozambique,T2_ALT_VENDOR_OTHER_COUNTRY,8,118570,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,100707,17863,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Uganda,T2_ALT_VENDOR_OTHER_COUNTRY,8,34487,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,77.6,vendor→country,32523,1964,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir,Zimbabwe,T2_ALT_VENDOR_OTHER_COUNTRY,8,15439,ASPEN PHARMACARE,0.8247,0.976,0.966,5,28000.0,84.5,vendor-global,10754,4685,GLAXOSMITHKLINE EXPORT LIMITED,0.7986,1.0,S. BUYS WHOLESALER,0.6454,0.985,
Abacavir/Lamivudine,"Congo, DRC",T2_ALT_VENDOR_OTHER_COUNTRY,3,3270,CIPLA LIMITED,0.8739,0.869,0.869,4,9926.5,144.8,vendor-global,3605,-335,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.8502,0.994,Aurobindo Pharma Limited,0.6639,0.859,
Abacavir/Lamivudine,Mozambique,T2_ALT_VENDOR_OTHER_COUNTRY,3,71458,CIPLA LIMITED,0.8739,0.869,0.869,4,9926.5,144.8,vendor-global,83915,-12457,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.8502,0.994,Aurobindo Pharma Limited,0.6639,0.859,
Abacavir/Lamivudine,Tanzania,T2_ALT_VENDOR_OTHER_COUNTRY,3,138846,CIPLA LIMITED,0.8739,0.869,0.869,4,9926.5,111.5,vendor→country,126350,12496,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.8502,0.994,Aurobindo Pharma Limited,0.6639,0.859,
"Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",South Sudan,T2_ALT_VENDOR_OTHER_COUNTRY,2,1558,WAGENIA,0.9713,1.0,0.918,1,2500.0,,,,,"Standard Diagnostics, Inc.",0.6501,0.959,,,,
Efavirenz,Burundi,T2_ALT_VENDOR_OTHER_COUNTRY,12,53113,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,201.4,vendor-global,75418,-22305,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz,"Congo, DRC",T2_ALT_VENDOR_OTHER_COUNTRY,12,22071,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,201.4,vendor-global,28901,-6830,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz,Guatemala,T2_ALT_VENDOR_OTHER_COUNTRY,12,,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,201.4,vendor-global,,,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz,Mozambique,T2_ALT_VENDOR_OTHER_COUNTRY,12,368101,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,201.4,vendor-global,504730,-136629,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz,Nigeria,T2_ALT_VENDOR_OTHER_COUNTRY,12,956621,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,275.8,vendor→country,1677854,-721233,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz,South Sudan,T2_ALT_VENDOR_OTHER_COUNTRY,12,17838,EMCURE PHARMACEUTICALS LTD,0.816,0.951,0.944,8,77916.5,201.4,vendor-global,24903,-7065,Aurobindo Pharma Limited,0.7552,0.859,STRIDES ARCOLAB LIMITED,0.7032,0.957,
Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Botswana,T2_ALT_VENDOR_OTHER_COUNTRY,6,,SCMS from RDC,0.7279,0.828,0.829,103,30598.0,,,,,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.7138,0.994,Aurobindo Pharma Limited,0.6956,0.859,
Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Uganda,T2_ALT_VENDOR_OTHER_COUNTRY,6,222156,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.8256,0.994,0.992,12,44574.5,96.5,vendor→country,224688,-2532,Aurobindo Pharma Limited,0.7258,0.859,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),0.6664,0.985,
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Burundi,T2_ALT_VENDOR_OTHER_COUNTRY,4,119136,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.853,0.994,0.992,52,28973.5,128.3,vendor-global,127208,-8072,HETERO LABS LIMITED,0.7701,0.993,CIPLA LIMITED,0.7372,0.869,
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,"Congo, DRC",T2_ALT_VENDOR_OTHER_COUNTRY,4,402614,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.853,0.994,0.992,52,28973.5,128.3,vendor-global,408273,-5659,HETERO LABS LIMITED,0.7701,0.993,CIPLA LIMITED,0.7372,0.869,
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Côte d'Ivoire,T2_ALT_VENDOR_OTHER_COUNTRY,4,1189495,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.853,0.994,0.992,52,28973.5,156.8,vendor→country,1221463,-31968,HETERO LABS LIMITED,0.7701,0.993,CIPLA LIMITED,0.7372,0.869,
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Mozambique,T2_ALT_VENDOR_OTHER_COUNTRY,4,8062179,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),0.853,0.994,0.992,52,28973.5,128.3,vendor-global,8181583,-119404,HETERO LABS LIMITED,0.7701,0.993,CIPLA LIMITED,0.7372,0.869,
