date,stress_score,stress_level,type
2020-01-05,0.6828314997104805,HIGH,historical
2020-01-12,0.6785589764862041,HIGH,historical
2020-01-19,0.6413467075945763,MEDIUM,historical
2020-01-26,0.5979262633348211,MEDIUM,historical
2020-02-02,0.5379072918950175,MEDIUM,historical
2020-02-09,0.4643246980477217,MEDIUM,historical
2020-02-16,0.4182281515835654,MEDIUM,historical
2020-02-23,0.3980593978377347,LOW,historical
2020-03-01,0.3995864034408273,LOW,historical
2020-03-08,0.4275266008401109,MEDIUM,historical
2020-03-15,0.4691493413783831,MEDIUM,historical
2020-03-22,0.511259749390087,MEDIUM,historical
2020-03-29,0.5260778639678169,MEDIUM,historical
2020-04-05,0.5056302647474059,MEDIUM,historical
2020-04-12,0.4634941422555474,MEDIUM,historical
2020-04-19,0.4183862553507855,MEDIUM,historical
2020-04-26,0.3855538212775222,LOW,historical
2020-05-03,0.3732077998948312,LOW,historical
2020-05-10,0.371781382288315,LOW,historical
2020-05-17,0.3761315243337695,LOW,historical
2020-05-24,0.3865931586084503,LOW,historical
2020-05-31,0.408914647237965,MEDIUM,historical
2020-06-07,0.4020986976503355,MEDIUM,historical
2020-06-14,0.404831005702037,MEDIUM,historical
2020-06-21,0.4121010772495951,MEDIUM,historical
2020-06-28,0.421067859220272,MEDIUM,historical
2020-07-05,0.4325985036929345,MEDIUM,historical
2020-07-12,0.4368145659982312,MEDIUM,historical
2020-07-19,0.4330989621646056,MEDIUM,historical
2020-07-26,0.4216906362946697,MEDIUM,historical
2020-08-02,0.4364808368630777,MEDIUM,historical
2020-08-09,0.4461423702435437,MEDIUM,historical
2020-08-16,0.4579088970703742,MEDIUM,historical
2020-08-23,0.4710381320782568,MEDIUM,historical
2020-08-30,0.4812555947486246,MEDIUM,historical
2020-09-06,0.4976596629434192,MEDIUM,historical
2020-09-13,0.5059181833882367,MEDIUM,historical
2020-09-20,0.504173946279826,MEDIUM,historical
2020-09-27,0.503298288623153,MEDIUM,historical
2020-10-04,0.4904966037837617,MEDIUM,historical
2020-10-11,0.4780594584462818,MEDIUM,historical
2020-10-18,0.4754580325768427,MEDIUM,historical
2020-10-25,0.471116137603188,MEDIUM,historical
2020-11-01,0.4678250152830479,MEDIUM,historical
2020-11-08,0.467042671991033,MEDIUM,historical
2020-11-15,0.4644692928678916,MEDIUM,historical
2020-11-22,0.4846364753413404,MEDIUM,historical
2020-11-29,0.508176985295322,MEDIUM,historical
2020-12-06,0.5204906982856501,MEDIUM,historical
2020-12-13,0.5325548546331852,MEDIUM,historical
2020-12-20,0.5286928135868012,MEDIUM,historical
2020-12-27,0.5258939976671528,MEDIUM,historical
2021-01-03,0.5255048971637871,MEDIUM,historical
2021-01-10,0.5194319826473376,MEDIUM,historical
2021-01-17,0.5061604370470353,MEDIUM,historical
2021-01-24,0.4910121177982939,MEDIUM,historical
2021-01-31,0.4849796692015073,MEDIUM,historical
2021-02-07,0.504983834001963,MEDIUM,historical
2021-02-14,0.5344221744865594,MEDIUM,historical
2021-02-21,0.5673946667043346,MEDIUM,historical
2021-02-28,0.6071464823177465,MEDIUM,historical
2021-03-07,0.6353044358843977,MEDIUM,historical
2021-03-14,0.6634218016334424,HIGH,historical
2021-03-21,0.6931278970426629,HIGH,historical
2021-03-28,0.7157539365437023,HIGH,historical
2021-04-04,0.7170026933552508,HIGH,historical
2021-04-11,0.7075519962104013,HIGH,historical
2021-04-18,0.6916610339476171,HIGH,historical
